janamdivas	जन्मदिवस
roktey	रोकते
rati	रती
rebel	रेबेल
kbc	केबीसी
karniye	करणीय
gajak	गजक
anshi	अंशी
dikhaanaa	दिखाना
pahne	पहने
adhiniyamon	अधिनियमों
faharakar	फहराकर
bikane	बिकने
serving	सर्विंग
parivartanon	परिवर्तनों
prachurta	प्रचुरता
manmoh	मनमोह
taliyon	तालियों
dhamaaraa	धमारा
idols	आइडल्स
kosam	कोसम
mahashktiyon	महाशक्तियों
knocks	नोक्स
kuredkar	कुरेदकर
saji	सजी
pithadhish	पीठाधीश
mean	मिन
abhyason	अभ्यासों
vasayukt	वसायुक्त
grihasthi	गृहस्थी
khaeyon	खाइयों
gautambuddha	गौतमबुद्ध
punarsthapit	पुनर्स्थापित
jalagar	जलागार
dafnaya	दफनाया
ayyappa	अय्यप्पा
annat	अन्नत
dukaandaari	दुकानदारी
sajid	साजिद
apvitr	अपवित्र
bhaagidaari	भागीदारी
raajaaon	राजाओं
booklate	बुकलेट
aneesh	अनीश
praudhvstha	प्रौढ़ावस्था
poochh	पूछ
kasurvar	कसूरवार
jivvigyaani	जीवविज्ञानी
bhaalon	भालों
rupwati	रूपवती
gende	गेंडे
asambadh	असंबद्ध
prichcha	पृच्छा
mgm	एमजीएम
daagna	दागना
agrenji	अग्रेंजी
gahra	गहरा
shafik	शफीक
sushupt	सुषुप्त
hamako	हमको
kunjbihari	कुंजबिहारी
kinvdantiyan	किंवदंतियां
sunaati	सुनाती
philistini	फिलिस्तीनी
malarana	मलारना
mathadhiron	मठाधीशों
qasimpur	कासिमपुर
porus	पोरस
prasutaa	प्रसूता
janamsathan	जन्मस्थान
khadedey	खदेड़े
naukrani	नौकरानी
chhurwa	छुड़वा
antaron	अंतरों
antyodaya	अंत्योदय
provident	प्रोविडेंट
tainkar	टैंकर
funtoosh	फंटूश
pathyapustakein	पाठ्यपुस्तकें
unhonen	उन्होंने
mahadweep	महाद्वीप
swikaryata	स्वीकार्यता
mahiya	माहिया
bacardi	बकार्डी
shuddhatavadi	शुद्धतावादी
prachurata	प्रचुरता
lafarje	लाफार्ज
sarlikaran	सरलीकरण
falgun	फाल्गुन
spashtaya	स्पष्टतया
ajooba	अजूबा
belbutedar	बेलबूटेदार
barc	बीएआरसी
bohein	भौहें
sthaayitv	स्थायित्व
adhyaayon	अध्यायों
davaiyaan	दवाइयां
zeherile	ज़हरीले
sthith	स्तिथ
bits	बिट्स
anirnit	अनिर्णीत
tuvalu	तुवालु
avarnaniya	अवर्णनीय
unmukhikaran	उन्मुखीकरण
shivdas	शिवदास
watcher	वाकर
haraaney	हराने
poonjigat	पूंजीगत
bankein	बैंकें
ugravad	उग्रवाद
bavala	बावला
chhattisgarh	छत्तीसगढ़
matayan	माताएं
favad	फवाद
z	जेड
kuen	कुएं
durdshita	दूरदर्शिता
alsee	अलसी
mirchi	मिर्ची
circle	सर्कल
shivratri	शिवरात्रि
bekhabar	बेखबर
kholti	खोलती
karakoram	कराकोरम
bf	बीएफ
khidkiyan	खिड़कियां
detailing	डिटेलिंग
aayogon	आयोगों
ikaayi	ईकाई
bichhu	बिच्छू
paripakk	परिपक्व
shrabkhanon	शराबखानों
astron	अस्त्रों
mahamandaleshwar	महामंडलेश्वर
swaras	स्वरस
yantrawat	यंत्रवत
ladaku	लड़ाकू
shudhodhan	शुद्धोधन
fuel	फ्यूअल
mannewale	माननेवाले
ghataanaa	घटाना
pradarshankariyon	प्रदर्शनकारियों
gangasagar	गंगासागर
duguni	दुगनी
purvanirdhaarit	पूर्वनिर्धारित
maitrey	मैत्रेय
bhutta	भुट्टा
bhinch	भींच
charanon	चरणों
rolla	रोला
poornamal	पूर्णमल
kotiyon	कोटियों
gothiya	गोतिया
nirmulan	निर्मूलन
avaason	आवासों
paaydaan	पायदान
harjindar	हरजिंदर
nibhanewali	निभानेवाली
bnani	बनानी
dukaandaaron	दुकानदारों
baithta	बैठता
ansuni	अनसुनी
nairogej	नैरोगेज
jhulate	झुलाते
samuucha	समूचा
wireman	वायरमैन
amliyta	अम्लीयता
paterson	पैटर्सन
neenv	नींव
ashtami	अष्टमी
adivasiyon	आदिवासियों
shilpakaron	शिल्पकारों
kshetrri	क्षेत्री
bunkar	बुनकर
rushiyon	ऋषियों
mrinal	मृणाल
chikitsaly	चिकित्सालय
prashasak	प्रशासक
stoop	स्तूप
banzpan	बांझपन
udaharanon	उदाहरणों
maahishmati	माहिष्मति
diwali	दीवाली
chhaapon	छापों
microblogging	माइक्रोब्लॉगिंग
vijayadaan	विजयदान
mehattam	महत्तम
ghayalavstha	घायलावस्था
tiloi	तिलोई
communicator	कम्यूनिकेटर
rajdooton	राजदूतों
modana	मोड़ना
bhejataa	भेजता
alipurdwar	अलीपुरद्वार
unmukti	उन्मुक्ति
puchhe	पूछे
visheshtaen	विशेषताएं
aawaasiya	आवासीय
hydrolic	हाइड्रॉलिक
jamavade	जमावड़े
bladder	ब्लैडर
unhad	अनहद
jansaamaany	जनसामान्य
poeam	पोयम
numbaron	नंबरों
jhakiyan	झाकियां
naukariyan	नौकरियां
ajaivik	अजैविक
kapade	कपड़े
goshthiyaan	गोष्ठियां
taranjeet	तरनजीत
religion	रिलिजन
hound	हाउंड
awanchhniya	अवांछनीय
fariyadi	फरियादी
ultrasound	अल्ट्रासाउंड
dhamakon	धमाकों
rajparivaar	राजपरिवार
chauthai	चौथाई
sochkar	सोचकर
karyakramo	कार्यक्रमों
shivlok	शिवलोक
teeke	टीके
asahanshilta	असहनशीलता
pratikriyawadi	प्रतिक्रियावादी
terahwin	तेरहवीं
sabooton	सबूतों
jivha	जिव्हा
chidiyon	चिड़ियों
microgram	माइक्रोग्राम
anoopshahar	अनूपशहर
dhundhane	ढूंढने
kharidaaron	खरीदारों
janghon	जांघों
survivor	सर्वाइवर
disleksia	डिस्लेक्सिया
sanyojit	संयोजित
coli	कुली
bajaate	बजाते
jerald	जेराल्ड
lautaate	लौटाते
sabhyatayen	सभ्यताएं
aayushmaan	आयुष्मान
bharthiyon	भारतीयों
talmel	तालमेल
pandavon	पांडवों
bhdravati	भद्रावती
epuu	ईपू
rujwelt	रूज़वेल्ट
kathayan	कथाएं
khilaune	खिलौने
naiscom	नैस्कॉम
aushdhiy	औषधीय
bhadke	भड़के
apattiya	अपतटीय
alpkalik	अल्पकालिक
sifarishon	सिफारिशें
sopan	सोपान
kahlati	कहलाती
dalta	डालता
sahaab	सहाब
palaas	पलास
vijaynagar	विजयनगर
tango	टैंगो
pichhale	पिछ्ले
keematon	कीमतों
deshnaa	देशना
chayanit	चयनित
manyataen	मान्यताएं
gadhchiroli	गढ़चिरौली
kulhe	कूल्हे
namarda	नमर्दा
kamalpur	कमलापुर
navgeet	नवगीत
jhumata	झूमता
bedekar	बेडेकर
singhla	सिंहला
bitaani	बितानी
kadakti	कड़कती
wachkon	वाचकों
peenevaale	पीनेवाले
badhayegi	बढ़ाएगी
mukabala	मुकाबला
prajvalita	प्रज्वलित
malleshwari	मल्लेश्वरी
malt	माल्ट
pratimaein	प्रतिमाएं
navaja	नवाजा
tatpachat	तत्पश्चात
taffi	टफी
sahastrabdiyon	सहस्त्राब्दियों
pravinataa	प्रवीणता
jmaane	जमाने
namit	नामित
sameta	समेटा
swim	स्विम
talvaadaa	तलवाड़ा
beeghey	बीघे
paatheya	पाथेय
nukasaankaari	नुकसानकारी
badhaakar	बढ़ाकर
ghutnon	घुटनों
merudand	मेरुदंड
baluchistan	बलूचिस्तान
tikri	टीकरी
sweetner	स्वीटनर
dikha	दिखा
parivartnon	परिवर्तनों
haidergarh	हैदरगढ़
fulane	फुलाने
aapaat	आपात
ladduon	लड्डुओं
jalate	जलाते
tikri	टिकरी
filmon	फिल्मों
maarey	मारे
pavaiya	पवैया
munakka	मुनक्का
zahreelaa	जहरीला
paryatkon	पर्यटकों
uthti	उठती
pudong	पुडोंग
burbareek	बर्बरीक
likhvana	लिखवाना
advencher	एडवेंचर
satva	सत्व
refynary	रिफायनरी
tyagata	त्यागता
bandari	बंदरी
nilambit	निलंबित
aadikal	आदिकाल
aksayi	अक्साई
nirvasan	निर्वासन
rajneesh	रजनीश
dhakelana	धकेलना
kirar	किरार
janmen	जन्में
erick	एरिक
amlon	अम्लों
kaavyasangrah	काव्यसंग्रह
bestline	बेसलाइन
higher	हायर
daudate	दौड़ते
sikod	सिकोड़
rudaki	रुड़की
yangun	यांगून
lagaanaa	लगाना
dhakelne	धकेलने
jigana	जिगना
panidar	पानीदार
jaliyon	जालियों
nakkaashi	नक्काशी
burliner	बर्लिनर
ghumna	घूमना
nijamshahi	निजामशाही
nikalin	निकलीं
nagor	नागोर
aadharik	आधारिक
franklin	फ्रैंकलिन
aakanshaein	आकांक्षाएं
awami	आवामी
ichchamrutya	इच्छामृत्यु
huraira	हुरैरा
golband	गोलबंद
shakl	शक्ल
kasraten	कसरतें
prayogshalaon	प्रयोगशालाओं
teekhi	तीखी
jaaydaad	जायदाद
mamlon	मामलों
vishwayuddha	विश्वयुद्ध
janaje	जनाजे
muskurakar	मुस्कुराकर
nimdeeha	नीमडीह
resaron	रेसरों
chitalwana	चितलवाना
bandhon	बांधों
upnivesh	उपनिवेश
apradhiyon	अपराधियों
vastushastr	वास्तुशास्त्र
adayagi	अदायगी
dimension	डाइमेंशन
matiala	मटियाला
bhandaaron	भंडारों
sokha	सिखा
bataaiye	बताईए
chhatptahat	छटपटाहट
jalajanit	जलजनित
pipeon	पाइपों
jalegi	जलेगी
swayansevi	स्वयंसेवी
chalegi	चलेगी
shabir	शबीर
dakshinpurva	दक्षिणपूर्व
pinakiyo	पिनोकियो
padpon	पादपों
kakadi	ककड़ी
morn	मोर्न
naiyyer	नैय्यर
uksaate	उकसाते
paaini	पैनी
andhe	अंधे
dafanaa	दफना
pahluon	पहलुओं
scripts	स्क्रिप्ट्स
ubadkhabad	ऊबड़खाबड़
perelman	पेरेलमैन
ughedne	उधेड़ने
shithilta	शिथिलता
jayasval	जायसवाल
bramdgi	बरामदगी
gandharv	गंधर्व
kharidati	खरीदती
niyaamkiya	नियामकीय
paimane	पैमाने
rackets	रैकेट्स
mritak	मृतक
divaalaa	दिवाला
pasaliyon	पसलियों
upjaai	उपजाई
sulochna	सुलोचना
pakur	पाकुड़
guptchron	गुप्तचरों
khushbeer	खुशबीर
caller	कॉलर
asabhyata	असभ्यता
khandu	खांडू
tormor	तोड़फोड़
thalesenadhyksha	थलसेनाध्यक्ष
harfanmaula	हरफनमौला
hijabullah	हिजबुल्लाह
itminaan	इत्मीनान
reshon	रेशों
yadnyanik	याज्ञनिक
tragedy	ट्रेजेडी
matrutv	मातृत्व
barahut	बारहट
mrada	मृदा
stretching	स्ट्रेचिंग
avasaravadi	अवसरवादी
gyanoday	ज्ञानोदय
winston	विंस्टन
challange	चैलेंज
mukhabiri	मुखबिरी
angbhang	अंगभंग
singhbhoom	सिंहभूम
rakhvane	रखवाने
ausatan	औसतन
sanstutiyan	संस्तुतियां
saintalis	सैंतालीस
sameekshayen	समीक्षाएं
nikalati	निकालती
radhasaomi	राधास्वामी
purvanchal	पूर्वांचल
anushthanon	अनुष्ठानों
kadmon	कदमों
badgam	बड़गाम
swaadhishthaan	स्वाधिष्ठान
parkhein	परखें
chhaale	छाले
sharmiila	शर्मीला
guptcharon	गुप्तचरों
jutate	जुटते
tharur	थरूर
prashikshkon	प्रशिक्षकों
antdreshiya	अंतर्देशीय
mudranalya	मुद्रणालय
aramani	अरमानी
chhayawadi	छायावादी
dahad	दहाड़
eyarlaains	एयरलाइंस
ayogh	अयोग
bankon	बैंकों
gunbadon	गुंबदों
simri	सिमरी
padhaane	पढ़ाने
lagate	लगते
neetishaastra	नीतिशास्त्र
hyas	हृास
pavagarh	पावागढ़
kamakhya	कामख्या
steaming	स्ट्रीमिंग
plasi	प्लासी
sondhi	सोंधी
maikarthi	मैकार्थी
aundha	औंधा
satyasheel	सत्यशील
pakane	पकाने
jeevvigyani	जीवविज्ञानी
ropeway	रोपवे
voton	वोटो
napkar	नापकर
chhuachhoot	छुआछूत
kichadyukt	कीचड़युक्त
magnum	मैग्नम
pratiyogitaen	प्रतियोगिताएं
jgaate	जगाते
banvaya	बनवाया
chukaana	चुकाना
jyadati	ज्यादती
atiutsaah	अतिउत्साह
vapisi	वापिसी
hovercraft	होवरक्राफ्ट
lache	लच्छे
adsense	ऐडसेंस
jagate	जागते
push	पुश
nahkane	बहकाने
upale	उपले
siddhashram	सिद्धाश्रम
tilakdhaari	तिलकधारी
pameer	पामीर
doubles	डबल्स
mandiya	मंडिया
kambli	कांबली
highlights	हाइलाइट्स
bhupathi	भूपति
hastiyan	हस्तियां
pariksharthi	परीक्षार्थी
parshiyal	पार्शियल
maajoon	माजून
mahangi	महंगी
chhoden	छोड़ें
smoothering	स्मूथरिंग
charno	चरणो
pakhandon	पाखंडों
chheena	छीना
mukhda	मुखड़ा
tathagat	तथागत
ganitagya	गणितज्ञ
brijkishore	बृजकिशोर
mhabhoj	महाभोज
gruhpravesh	गृहप्रवेश
jaysingh	जयसिंह
rev	रेव
nasal	नसल
yudhkal	युद्धकाल
vayusena	वायुसेना
limitation	लिमिटेशन
prakatye	प्राकट्य
ilyas	इलयास
samanvayan	समन्वयन
kroeshiyai	क्रोएशियाई
mahashweta	महाश्वेता
squadrono	स्क्वाड्रनों
lutna	लूटना
bajaati	बजाती
shaastreeyata	शास्त्रीयता
asanbandh	असंबद्ध
oont	ऊंट
dhakele	धकेले
juvenile	जुवेनाइल
bhagayen	भगाएं
bhagyavidhata	भाग्यविधाता
khangar	खंगार
adhuura	अधूरा
nevalon	नेवलों
muat	मौत
rabdi	रबड़ी
hardyal	हरदयाल
paanchvaan	पांचवां
idhan	ईंधन
vyaskon	वयस्कों
amlapuram	अमलापुरम
lingvistick	लिंग्विस्टिक
paryevekshakon	पर्यवेक्षकों
pachuva	पछुवा
shanidev	शनिदेव
dupahar	दुपहर
belong	बिलॉन्ग
naachna	नाचना
tikaton	टिकटों
ashapuri	आशापुरी
nusarat	नुसरत
jansnchar	जनसंचार
mueein	मुईन
trace	ट्रेस
floring	फ्लोरिंग
tumko	तुमको
jvarbhata	ज्वारभाटा
lagaav	लगाव
becholer	बैचलर
chhatri	छत्री
fursat	फुर्सत
irs	आईआरएस
kathiyawad	काठियावाड़
chhaatrasangh	छात्रसंघ
platen	प्लेटें
pighlaa	पिघला
vyaktitvon	व्यक्तित्वों
vashibhoot	वशीभूत
fuslakar	फुसलाकर
gatekeeper	गेटकीपर
mooshak	मूषक
jhagadon	झगड़ों
technice	तकनीकें
apraadhbodh	अपराधबोध
mahilavadi	महिलावादी
thokr	ठोकर
diwanon	दीवानों
dhimi	धीमी
squadronon	स्क्वाड्रनों
eyaralayins	एयरलाइंस
maktub	मकतूम
peshon	पेशों
loknrityon	लोकनृत्यों
jalsema	जलसीमा
minimal	मिनिमल
kuchakra	कुचक्र
takton	तख्तों
janchane	जांचने
byaanon	बयानों
barten	बार्टन
badhyakari	बाध्यकारी
saraaypaali	सरायपाली
gunvattapurn	गुणवत्तापूर्ण
gruhyuddha	गृहयुद्ध
shubhkaamanaayein	शुभकामनाएं
deboo	देबू
denevaalaa	देनेवाला
okhaldhunga	ओखलढुंगा
avdharnao	अवधारणाओं
dhamaara	धमारा
postpaid	पोस्टपेड
alsi	अलसी
karogi	करोगी
maaspeshi	मांसपेशी
bedding	बेडिंग
parbraham	परब्रह्म
bhampane	भांपने
andhvishwas	अंधविश्वास
yagnik	याग्निक
laugh	लाफ
europiyan	यूरोपियन
agnimaandya	अग्निमांद्य
chalbaji	चालबाजी
chudvane	छुड़वाने
bhairvi	भैरवी
npci	एनपीसीआई
kasimpur	कासिमपुर
adhyeta	अध्येता
visheshtaon	विशेषताओं
mantraalayon	मंत्रालयों
nodas	नोड्स
motiyon	मोतियों
gokulanand	गोकुलानंद
mahadasha	महादशा
kharidiye	खरीदिए
rotiyan	रोटियां
jalvahi	जलवाही
jahnavi	जाह्नवी
ramavat	रामावत
golamaa	गोलमा
shobhavati	शोभावती
thotha	थोथा
elines	एलायंस
eriyana	एरियाना
pahchante	पहचानते
runon	ऋणों
ahoi	अहोई
girdharilal	गिरधारीलाल
nellore	नेल्लौर
shakarkand	शकरकंद
matsyasana	मत्स्यासन
achchaee	अच्छाई
shodkartaon	शोधकर्ताओं
veleri	वेलेरी
praydvip	प्रायद्वीप
grahakon	ग्राहकों
puraattavvetaon	पुरातत्ववेत्ताओं
bhidna	भिड़ना
mundeshwari	मुंडेश्वरी
pujasthalon	पूजास्थलों
taraguchch	तारागुच्छ
vyuh	व्यूह
pyuma	प्यूमा
ballebaji	बल्लेबाजी
sunate	सुनाते
rajouriya	राजोरिया
chhad	छड़
jotaai	जोताई
prtidhvani	प्रतिध्वनि
kadiri	कादिरी
dagna	दागना
babalaal	बाबूलाल
ayyashee	अय्याशी
webdunia	वेबदुनिया
uchchayukta	उच्चायुक्त
teamein	टीमें
mahilayen	महिलाऐं
sonta	सोंटा
amora	अमौरा
jogendar	जोगेंद्र
pravritiyon	प्रवृतियों
ahsaan	एहसान
waginr	वेगेनर
mankikrit	मानकीकृत
pachankriya	पाचनक्रिया
anichchit	अनिच्छित
grihyuddh	गृहयुद्ध
asantrupt	असंतृप्त
jaatav	जाटव
portrait	पोट्रेट
pratibhaon	प्रतिभाओं
nagarkot	नगरकोट
gruhdah	गृहदाह
teekree	टीकरी
sangathnon	संगठनों
taalika	तालिका
licchavi	लिच्छवी
swargaarohan	स्वर्गारोहण
karunesh	करुणेश
khelne	खेलने
pradhikaran	प्राधिकरण
dirghkaalik	दीर्घकालिक
perasuit	पैराशूट
shpathpatr	शपथपत्र
lodge	लॉज
makkar	मक्कार
mokshada	मोक्षदा
khadau	खड़ाऊ
paripakv	परिपक्व
nrityangana	नृत्यांगना
chaubisi	चौबीसी
galaxy	गैलक्सी
funsiyaan	फुंसियां
bambari	बमबारी
ghuma	घूमा
chif	चीफ़
essay	एसे
jvalanasheel	ज्वलनशील
anupgarh	अनूपगढ
terro	टैरो
nilkanth	नीलकंठ
bandaro	बंदरो
kantakon	कंटकों
krity	कृत्य
samrajyon	साम्राज्यों
karvaye	करवाए
jhou	झोउ
sarikhe	सरीखे
bouyer	बॉयर
chhapai	छपाई
nirvaasiton	निर्वासितों
gadhchirauli	गढ़चिरौली
seemarekha	सीमारेखा
mehekta	महकता
bhuskhalan	भूस्खलन
panchamukhi	पंचमुखी
muktidaataa	मुक्तिदाता
paidavar	पैदावार
riyasatein	रियासतें
boya	बोया
behali	बेहाली
avdhoot	अवधूत
aksai	अक्साई
theth	ठेठ
druvikrut	ध्रुवीकृत
ummed	उम्मीद
present	प्रेजेंट
katne	काटने
pindon	पिंडो
nimnaanusaar	निम्नानुसार
basv	बसव
manipulator	मैनिपुलेटर
dhoyaa	धोया
rashtranirman	राष्ट्रनिर्माण
anubhavon	अनुभवों
upvijeta	उपविजेता
bikhare	बिखरे
antahakaran	अंतःकरण
kadagam	कड़गम
terminalon	टर्मिनलों
pracheenata	प्राचीनता
jalaaye	जलाए
qunain	क्यूबाई
dhakelaa	ढकेला
jataate	जताते
copyright	कॉपीराइट
shodhkartaon	शोधकर्ताओं
pakshatap	पश्चाताप
ranbankuro	रणबांकुरो
wakyon	वाक्यों
shishtachar	शिष्टाचार
muhal	मुहाल
morse	मोर्स
sandha	संधा
samavisht	समाविष्ट
vanyajivon	वन्यजीवों
vidhaanmandalon	विधानमंडलों
dk	डीके
ownrary	ऑनरेरी
panini	पाणिनि
bason	बसों
promoter	प्रोमोटर
kandhe	कंधे
paros	परोस
techtonic	टेक्टोनिक
sinhvahini	सिंहवाहिनी
guangdong	ग्वांगडोंग
thyoram	थ्योरम
sambodh	संबोध
networkon	नेटवर्कों
naslvad	नस्लवाद
pahrondaron	पहरेदारों
sarvangin	सर्वांगीण
nikaalegi	निकालेगी
purvagrah	पूर्वाग्रह
isaiyat	ईसाइयत
bhagidari	भागीदारी
yesvantpur	यशवंतपुर
jujhaar	जुझार
sataati	सताती
ganiyari	गनियारी
wilasi	विलासी
markar	मार्कर
nikalata	निकालता
jamrs	जर्म्स
nazdeekee	नज़दीकी
nishpakshta	निष्पक्षता
itihaason	इतिहासों
kaliyon	कलियों
jateeyata	जातीयता
sanchlan	संचलन
vikaral	विकराल
comodor	कोमोडोर
jhulaate	झुलाते
jwel	ज्वैल
vaitanik	वैतनिक
muqabalon	मुकाबलों
maanviki	मानविकी
tyaagata	त्यागता
mahdrip	महाद्वीप
dayaluta	दयालुता
bhejkar	भेजकर
kuroopta	कुरूपता
